                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.8243,                 1.5352,                  1.011,                0.62143,                0.65626,                0.64162,                0.31262,                 1.6874,                 1.3514,                 1.0215,               0.007525,               0.007525,               0.007525
                     77,                 1.7466,                  1.497,                 1.0206,                0.63468,                0.59597,                 0.6438,                0.30076,                 1.7527,                 1.3794,                 1.0211,               0.007492,               0.007492,               0.007492
                     78,                 2.0642,                 1.6632,                0.99367,                0.63499,                0.64688,                 0.6437,                0.29896,                 1.7424,                 1.3317,                 1.0296,               0.007459,               0.007459,               0.007459
                     79,                 1.7946,                 1.5173,                0.98222,                0.68992,                0.65385,                0.68854,                0.32888,                  1.696,                 1.3506,                 1.0106,               0.007426,               0.007426,               0.007426
                     80,                 1.8163,                 1.4882,                 1.0174,                0.68092,                0.65566,                 0.6872,                0.32233,                 1.7238,                 1.2773,                 1.0284,               0.007393,               0.007393,               0.007393
                     81,                 1.8384,                  1.534,                 1.0093,                0.67378,                0.66255,                 0.6804,                0.32912,                 1.6742,                 1.3029,                  1.007,                0.00736,                0.00736,                0.00736
                     82,                 1.8575,                 1.5109,                0.99005,                0.68619,                0.63058,                 0.6856,                0.31305,                 1.7384,                 1.3051,                 1.0273,               0.007327,               0.007327,               0.007327
                     83,                 1.8212,                 1.4598,                 1.0288,                0.71983,                0.65238,                0.70991,                0.34935,                 1.6558,                 1.2311,                0.99946,               0.007294,               0.007294,               0.007294
                     84,                 1.7614,                 1.4254,                 1.0287,                0.69824,                 0.6603,                0.71114,                 0.3432,                 1.6778,                 1.2413,                  1.018,               0.007261,               0.007261,               0.007261
                     85,                 1.7527,                 1.4034,                 1.0225,                0.73177,                0.67039,                0.71697,                0.35114,                 1.6498,                 1.2192,                0.99978,               0.007228,               0.007228,               0.007228
                     86,                 1.8389,                 1.4969,                0.97881,                0.70881,                0.67501,                0.72127,                0.34973,                  1.678,                 1.2192,                 1.0128,               0.007195,               0.007195,               0.007195
                     87,                 1.7503,                  1.384,                 1.0133,                0.68498,                0.64981,                0.70212,                0.32671,                 1.7142,                 1.3006,                 1.0059,               0.007162,               0.007162,               0.007162
                     88,                 1.7418,                 1.3415,                 1.0204,                0.74311,                0.69032,                0.74343,                0.37229,                 1.6223,                 1.1826,                0.99617,               0.007129,               0.007129,               0.007129
                     89,                 1.7458,                 1.4432,                 1.0091,                0.67936,                0.67295,                0.72125,                0.32942,                 1.7273,                 1.2818,                 1.0076,               0.007096,               0.007096,               0.007096
                     90,                 1.7792,                 1.4082,                0.99879,                0.76143,                0.70357,                0.75367,                0.37351,                 1.6205,                 1.1558,                0.99021,               0.007063,               0.007063,               0.007063
                     91,                 1.7837,                 1.3605,                 1.0069,                0.74701,                0.69736,                0.75377,                0.35354,                 1.7188,                 1.1692,                 1.0074,                0.00703,                0.00703,                0.00703
                     92,                 1.8515,                 1.3977,                0.99178,                0.74973,                0.71924,                0.76248,                0.38312,                  1.591,                 1.1464,                  0.987,               0.006997,               0.006997,               0.006997
                     93,                 1.7138,                 1.3375,                 1.0339,                0.78581,                0.70145,                0.76276,                0.36155,                 1.7173,                 1.1464,                 1.0102,               0.006964,               0.006964,               0.006964
                     94,                 1.8058,                  1.466,                  1.016,                0.78455,                0.72251,                0.76592,                0.37891,                 1.5937,                 1.1527,                0.98829,               0.006931,               0.006931,               0.006931
                     95,                  1.687,                 1.3469,                0.97822,                0.79565,                0.69543,                0.77515,                 0.3704,                 1.6729,                 1.1603,                 1.0002,               0.006898,               0.006898,               0.006898
                     96,                 1.7547,                 1.3703,                0.99786,                 0.8162,                0.70767,                0.78272,                0.39359,                 1.5772,                 1.1106,                0.98258,               0.006865,               0.006865,               0.006865
                     97,                 1.7243,                 1.3263,                 1.0006,                0.76644,                0.71097,                0.77898,                0.37325,                 1.6766,                 1.1475,                 0.9997,               0.006832,               0.006832,               0.006832
                     98,                 1.7247,                 1.3146,                 1.0099,                0.77566,                0.69284,                0.78082,                0.40267,                 1.5691,                 1.1527,                0.98291,               0.006799,               0.006799,               0.006799
                     99,                 1.7051,                 1.3312,                 1.0037,                0.81595,                 0.7166,                0.78388,                0.38138,                 1.6743,                 1.1232,                0.99894,               0.006766,               0.006766,               0.006766
                    100,                 1.7027,                 1.2918,                 1.0088,                0.81461,                0.71596,                0.79438,                0.40472,                 1.5913,                 1.0798,                  0.987,               0.006733,               0.006733,               0.006733
                    101,                 1.7212,                 1.2636,                 1.0051,                0.80641,                0.71033,                0.79335,                0.39328,                 1.6378,                 1.0958,                 0.9904,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.7359,                 1.3136,                0.99409,                 0.8406,                0.71165,                0.79705,                0.40272,                 1.5911,                 1.0761,                0.98879,               0.006667,               0.006667,               0.006667
                    103,                 1.7101,                 1.2913,                0.99445,                0.78842,                0.72123,                0.77811,                0.38924,                 1.6047,                 1.0828,                0.98639,               0.006634,               0.006634,               0.006634
                    104,                  1.741,                 1.2805,                0.98652,                0.82398,                0.72954,                0.80269,                0.40272,                 1.5808,                 1.0819,                0.98211,               0.006601,               0.006601,               0.006601
                    105,                 1.7304,                 1.2845,                 1.0041,                0.82138,                 0.6998,                0.78611,                0.39064,                 1.6358,                 1.0561,                0.99041,               0.006568,               0.006568,               0.006568
                    106,                 1.7447,                 1.2794,                 1.0003,                0.84319,                0.71469,                0.80256,                0.40949,                 1.5665,                 1.0474,                0.97812,               0.006535,               0.006535,               0.006535
                    107,                 1.7242,                 1.2791,                0.99393,                0.84493,                0.70395,                 0.8027,                0.39743,                 1.6214,                 1.0654,                0.99256,               0.006502,               0.006502,               0.006502
                    108,                 1.7141,                 1.2849,                 1.0094,                0.86729,                0.70936,                0.80383,                0.41352,                 1.5911,                 1.0265,                0.98227,               0.006469,               0.006469,               0.006469
                    109,                 1.6401,                 1.1865,                 1.0048,                0.83157,                 0.7328,                0.80546,                 0.4063,                 1.6026,                 1.0707,                 1.0001,               0.006436,               0.006436,               0.006436
